package,mode,files
ch-qos-logback-logback-classic,base,5917
ch-qos-logback-logback-classic,both,678
ch-qos-logback-logback-classic,erase,4831
ch-qos-logback-logback-classic,inject,693
ch-qos-logback-logback-core,base,10323
ch-qos-logback-logback-core,both,2244
ch-qos-logback-logback-core,erase,13569
ch-qos-logback-logback-core,inject,2231
com-alibaba-fastjson,base,2362
com-alibaba-fastjson,both,834
com-alibaba-fastjson,erase,2022
com-alibaba-fastjson,inject,861
com-fasterxml-jackson-core-jackson-annotations,base,4079
com-fasterxml-jackson-core-jackson-annotations,both,243
com-fasterxml-jackson-core-jackson-annotations,erase,2258
com-fasterxml-jackson-core-jackson-annotations,inject,238
com-fasterxml-jackson-core-jackson-core,base,9414
com-fasterxml-jackson-core-jackson-core,both,1692
com-fasterxml-jackson-core-jackson-core,erase,12142
com-fasterxml-jackson-core-jackson-core,inject,1692
com-fasterxml-jackson-core-jackson-databind,base,13791
com-fasterxml-jackson-core-jackson-databind,both,6888
com-fasterxml-jackson-core-jackson-databind,erase,15406
com-fasterxml-jackson-core-jackson-databind,inject,6959
com-fasterxml-jackson-dataformat-jackson-dataformat-yaml,base,911
com-fasterxml-jackson-dataformat-jackson-dataformat-yaml,both,233
com-fasterxml-jackson-dataformat-jackson-dataformat-yaml,erase,874
com-fasterxml-jackson-dataformat-jackson-dataformat-yaml,inject,233
com-fasterxml-jackson-datatype-jackson-datatype-jsr310,base,280
com-fasterxml-jackson-datatype-jackson-datatype-jsr310,both,289
com-fasterxml-jackson-datatype-jackson-datatype-jsr310,erase,285
com-fasterxml-jackson-datatype-jackson-datatype-jsr310,inject,295
com-google-auto-service-auto-service,base,30
com-google-auto-service-auto-service,both,5
com-google-auto-service-auto-service,erase,30
com-google-auto-service-auto-service,inject,5
com-google-code-gson-gson,base,1401
com-google-code-gson-gson,both,334
com-google-code-gson-gson,erase,1274
com-google-code-gson-gson,inject,337
com-google-guava-guava,base,16737
com-google-guava-guava,both,6577
com-google-guava-guava,erase,14251
com-google-guava-guava,inject,6671
com-google-inject-guice,base,10680
com-google-inject-guice,both,1111
com-google-inject-guice,erase,8371
com-google-inject-guice,inject,1122
com-google-protobuf-protobuf-java,base,16747
com-google-protobuf-protobuf-java,both,4995
com-google-protobuf-protobuf-java,erase,17077
com-google-protobuf-protobuf-java,inject,5034
com-h2database-h2,base,19864
com-h2database-h2,both,10221
com-h2database-h2,erase,18168
com-h2database-h2,inject,10239
com-squareup-retrofit2-converter-gson,base,5
com-squareup-retrofit2-converter-gson,both,8
com-squareup-retrofit2-converter-gson,erase,7
com-squareup-retrofit2-converter-gson,inject,8
com-sun-xml-bind-jaxb-impl,base,14432
com-sun-xml-bind-jaxb-impl,both,3449
com-sun-xml-bind-jaxb-impl,erase,11839
com-sun-xml-bind-jaxb-impl,inject,3455
com-thoughtworks-xstream-xstream,base,11240
com-thoughtworks-xstream-xstream,both,1825
com-thoughtworks-xstream-xstream,erase,10807
com-thoughtworks-xstream-xstream,inject,1853
com-zaxxer-HikariCP,base,1092
com-zaxxer-HikariCP,both,82
com-zaxxer-HikariCP,erase,1498
com-zaxxer-HikariCP,inject,82
commons-beanutils-commons-beanutils,base,12436
commons-beanutils-commons-beanutils,both,1107
commons-beanutils-commons-beanutils,erase,7943
commons-beanutils-commons-beanutils,inject,1075
commons-cli-commons-cli,base,1093
commons-cli-commons-cli,both,268
commons-cli-commons-cli,erase,968
commons-cli-commons-cli,inject,268
commons-codec-commons-codec,base,8829
commons-codec-commons-codec,both,708
commons-codec-commons-codec,erase,8546
commons-codec-commons-codec,inject,699
commons-fileupload-commons-fileupload,base,3313
commons-fileupload-commons-fileupload,both,268
commons-fileupload-commons-fileupload,erase,3311
commons-fileupload-commons-fileupload,inject,266
commons-io-commons-io,base,13339
commons-io-commons-io,both,2917
commons-io-commons-io,erase,13511
commons-io-commons-io,inject,2940
io-reactivex-rxjava2-rxjava,base,10882
io-reactivex-rxjava2-rxjava,both,4571
io-reactivex-rxjava2-rxjava,erase,9590
io-reactivex-rxjava2-rxjava,inject,4609
io-rest-assured-rest-assured,base,13047
io-rest-assured-rest-assured,both,2780
io-rest-assured-rest-assured,erase,13283
io-rest-assured-rest-assured,inject,2795
jakarta-servlet-jakarta.servlet-api,base,3331
jakarta-servlet-jakarta.servlet-api,both,532
jakarta-servlet-jakarta.servlet-api,erase,3291
jakarta-servlet-jakarta.servlet-api,inject,527
jakarta-xml-bind-jakarta.xml.bind-api,base,4237
jakarta-xml-bind-jakarta.xml.bind-api,both,502
jakarta-xml-bind-jakarta.xml.bind-api,erase,4015
jakarta-xml-bind-jakarta.xml.bind-api,inject,486
javax-enterprise-cdi-api,base,18335
javax-enterprise-cdi-api,both,811
javax-enterprise-cdi-api,erase,17943
javax-enterprise-cdi-api,inject,813
javax-servlet-javax.servlet-api,base,6126
javax-servlet-javax.servlet-api,both,601
javax-servlet-javax.servlet-api,erase,6524
javax-servlet-javax.servlet-api,inject,598
javax-ws-rs-javax.ws.rs-api,base,4757
javax-ws-rs-javax.ws.rs-api,both,1250
javax-ws-rs-javax.ws.rs-api,erase,4944
javax-ws-rs-javax.ws.rs-api,inject,1248
javax-xml-bind-jaxb-api,base,1515
javax-xml-bind-jaxb-api,both,520
javax-xml-bind-jaxb-api,erase,4181
javax-xml-bind-jaxb-api,inject,515
joda-time-joda-time,base,12526
joda-time-joda-time,both,2775
joda-time-joda-time,erase,14099
joda-time-joda-time,inject,2744
org-apache-commons-commons-collections4,base,14965
org-apache-commons-commons-collections4,both,6804
org-apache-commons-commons-collections4,erase,18263
org-apache-commons-commons-collections4,inject,6922
org-apache-commons-commons-compress,base,7387
org-apache-commons-commons-compress,both,2873
org-apache-commons-commons-compress,erase,12028
org-apache-commons-commons-compress,inject,2858
org-apache-commons-commons-lang3,base,14411
org-apache-commons-commons-lang3,both,3916
org-apache-commons-commons-lang3,erase,10092
org-apache-commons-commons-lang3,inject,3878
org-apache-commons-commons-text,base,8846
org-apache-commons-commons-text,both,1001
org-apache-commons-commons-text,erase,10053
org-apache-commons-commons-text,inject,998
org-apache-logging-log4j-log4j-api,base,9929
org-apache-logging-log4j-log4j-api,both,1645
org-apache-logging-log4j-log4j-api,erase,9355
org-apache-logging-log4j-log4j-api,inject,1667
org-apache-logging-log4j-log4j-core,base,13786
org-apache-logging-log4j-log4j-core,both,5185
org-apache-logging-log4j-log4j-core,erase,15669
org-apache-logging-log4j-log4j-core,inject,5181
org-apache-maven-maven-artifact,base,2662
org-apache-maven-maven-artifact,both,217
org-apache-maven-maven-artifact,erase,2469
org-apache-maven-maven-artifact,inject,220
org-apache-maven-maven-core,base,7640
org-apache-maven-maven-core,both,2175
org-apache-maven-maven-core,erase,9439
org-apache-maven-maven-core,inject,2152
org-apache-maven-maven-plugin-api,base,3898
org-apache-maven-maven-plugin-api,both,168
org-apache-maven-maven-plugin-api,erase,5048
org-apache-maven-maven-plugin-api,inject,168
org-apache-poi-poi,base,16300
org-apache-poi-poi,both,8894
org-apache-poi-poi,erase,17999
org-apache-poi-poi,inject,8914
org-apache-poi-poi-ooxml,base,15117
org-apache-poi-poi-ooxml,both,5553
org-apache-poi-poi-ooxml,erase,14516
org-apache-poi-poi-ooxml,inject,5583
org-aspectj-aspectjrt,base,3923
org-aspectj-aspectjrt,both,500
org-aspectj-aspectjrt,erase,3849
org-aspectj-aspectjrt,inject,506
org-aspectj-aspectjweaver,base,15845
org-aspectj-aspectjweaver,both,6654
org-aspectj-aspectjweaver,erase,17248
org-aspectj-aspectjweaver,inject,6716
org-assertj-assertj-core,base,16591
org-assertj-assertj-core,both,6681
org-assertj-assertj-core,erase,19329
org-assertj-assertj-core,inject,6723
org-bouncycastle-bcpkix-jdk15on,base,6908
org-bouncycastle-bcpkix-jdk15on,both,2152
org-bouncycastle-bcpkix-jdk15on,erase,7236
org-bouncycastle-bcpkix-jdk15on,inject,2153
org-bouncycastle-bcprov-jdk15on,base,29571
org-bouncycastle-bcprov-jdk15on,both,12904
org-bouncycastle-bcprov-jdk15on,erase,30115
org-bouncycastle-bcprov-jdk15on,inject,12812
org-clojure-clojure,base,12099
org-clojure-clojure,both,2603
org-clojure-clojure,erase,11724
org-clojure-clojure,inject,2588
org-easymock-easymock,base,7314
org-easymock-easymock,both,768
org-easymock-easymock,erase,8757
org-easymock-easymock,inject,767
org-eclipse-jetty-jetty-server,base,8762
org-eclipse-jetty-jetty-server,both,1051
org-eclipse-jetty-jetty-server,erase,9593
org-eclipse-jetty-jetty-server,inject,1042
org-freemarker-freemarker,base,8008
org-freemarker-freemarker,both,1593
org-freemarker-freemarker,erase,7463
org-freemarker-freemarker,inject,1556
org-hamcrest-hamcrest,base,12661
org-hamcrest-hamcrest,both,977
org-hamcrest-hamcrest-core,base,4
org-hamcrest-hamcrest-core,both,2
org-hamcrest-hamcrest-core,erase,4
org-hamcrest-hamcrest-core,inject,2
org-hamcrest-hamcrest,erase,13019
org-hamcrest-hamcrest,inject,979
org-hamcrest-hamcrest-library,base,4
org-hamcrest-hamcrest-library,both,2
org-hamcrest-hamcrest-library,erase,4
org-hamcrest-hamcrest-library,inject,2
org-hsqldb-hsqldb,base,13704
org-hsqldb-hsqldb,both,3332
org-hsqldb-hsqldb,erase,11843
org-hsqldb-hsqldb,inject,3364
org-javassist-javassist,base,9766
org-javassist-javassist,both,1657
org-javassist-javassist,erase,11510
org-javassist-javassist,inject,1654
org-jboss-logging-jboss-logging,base,6121
org-jboss-logging-jboss-logging,both,304
org-jboss-logging-jboss-logging,erase,6736
org-jboss-logging-jboss-logging,inject,322
org-jsoup-jsoup,base,12119
org-jsoup-jsoup,both,997
org-jsoup-jsoup,erase,10723
org-jsoup-jsoup,inject,972
org-junit-jupiter-junit-jupiter-api,base,10291
org-junit-jupiter-junit-jupiter-api,both,649
org-junit-jupiter-junit-jupiter-api,erase,10575
org-junit-jupiter-junit-jupiter-api,inject,651
org-junit-jupiter-junit-jupiter-engine,base,1617
org-junit-jupiter-junit-jupiter-engine,both,231
org-junit-jupiter-junit-jupiter-engine,erase,1660
org-junit-jupiter-junit-jupiter-engine,inject,231
org-junit-jupiter-junit-jupiter-params,base,196
org-junit-jupiter-junit-jupiter-params,both,65
org-junit-jupiter-junit-jupiter-params,erase,155
org-junit-jupiter-junit-jupiter-params,inject,66
org-junit-platform-junit-platform-launcher,base,971
org-junit-platform-junit-platform-launcher,both,217
org-junit-platform-junit-platform-launcher,erase,940
org-junit-platform-junit-platform-launcher,inject,217
org-junit-vintage-junit-vintage-engine,base,128
org-junit-vintage-junit-vintage-engine,both,35
org-junit-vintage-junit-vintage-engine,erase,185
org-junit-vintage-junit-vintage-engine,inject,35
org-mockito-mockito-core,base,1650
org-mockito-mockito-core,both,682
org-mockito-mockito-core,erase,1861
org-mockito-mockito-core,inject,690
org-mockito-mockito-junit-jupiter,base,6
org-mockito-mockito-junit-jupiter,both,7
org-mockito-mockito-junit-jupiter,erase,7
org-mockito-mockito-junit-jupiter,inject,7
org-objenesis-objenesis,base,2020
org-objenesis-objenesis,both,213
org-objenesis-objenesis,erase,1862
org-objenesis-objenesis,inject,208
org-ow2-asm-asm,base,627
org-ow2-asm-asm,both,250
org-ow2-asm-asm,erase,720
org-ow2-asm-asm,inject,252
org-postgresql-postgresql,base,18389
org-postgresql-postgresql,both,2493
org-postgresql-postgresql,erase,11330
org-postgresql-postgresql,inject,2473
org-powermock-powermock-api-mockito,base,2031
org-powermock-powermock-api-mockito,both,194
org-powermock-powermock-api-mockito,erase,2027
org-powermock-powermock-api-mockito,inject,195
org-powermock-powermock-module-junit4,base,912
org-powermock-powermock-module-junit4,both,56
org-powermock-powermock-module-junit4,erase,914
org-powermock-powermock-module-junit4,inject,56
org-projectlombok-lombok,base,602
org-projectlombok-lombok,both,19
org-projectlombok-lombok,erase,588
org-projectlombok-lombok,inject,19
org-reflections-reflections,base,7502
org-reflections-reflections,both,459
org-reflections-reflections,erase,7298
org-reflections-reflections,inject,466
org-slf4j-jcl-over-slf4j,base,8281
org-slf4j-jcl-over-slf4j,both,51
org-slf4j-jcl-over-slf4j,erase,8583
org-slf4j-jcl-over-slf4j,inject,53
org-slf4j-jul-to-slf4j,base,7
org-slf4j-jul-to-slf4j,both,6
org-slf4j-jul-to-slf4j,erase,7
org-slf4j-jul-to-slf4j,inject,6
org-slf4j-log4j-over-slf4j,base,1285
org-slf4j-log4j-over-slf4j,both,156
org-slf4j-log4j-over-slf4j,erase,1085
org-slf4j-log4j-over-slf4j,inject,165
org-slf4j-slf4j-api,base,6696
org-slf4j-slf4j-api,both,244
org-slf4j-slf4j-api,erase,7147
org-slf4j-slf4j-api,inject,242
org-slf4j-slf4j-jdk14,base,116
org-slf4j-slf4j-jdk14,both,14
org-slf4j-slf4j-jdk14,erase,116
org-slf4j-slf4j-jdk14,inject,14
org-slf4j-slf4j-simple,base,22
org-slf4j-slf4j-simple,both,12
org-slf4j-slf4j-simple,erase,24
org-slf4j-slf4j-simple,inject,12
org-spockframework-spock-core,base,5172
org-spockframework-spock-core,both,273
org-spockframework-spock-core,erase,4634
org-spockframework-spock-core,inject,275
org-springframework-security-spring-security-core,base,10015
org-springframework-security-spring-security-core,both,1260
org-springframework-security-spring-security-core,erase,9907
org-springframework-security-spring-security-core,inject,1214
org-springframework-spring-aop,base,10553
org-springframework-spring-aop,both,799
org-springframework-spring-aop,erase,10586
org-springframework-spring-aop,inject,818
org-springframework-spring-beans,base,11337
org-springframework-spring-beans,both,2157
org-springframework-spring-beans,erase,12412
org-springframework-spring-beans,inject,2109
org-springframework-spring-context,base,7679
org-springframework-spring-context,both,2432
org-springframework-spring-context,erase,12331
org-springframework-spring-context,inject,2442
org-springframework-spring-context-support,base,2016
org-springframework-spring-context-support,both,437
org-springframework-spring-context-support,erase,1336
org-springframework-spring-context-support,inject,436
org-springframework-spring-core,base,15261
org-springframework-spring-core,both,4062
org-springframework-spring-core,erase,14525
org-springframework-spring-core,inject,4007
org-springframework-spring-jdbc,base,9987
org-springframework-spring-jdbc,both,1809
org-springframework-spring-jdbc,erase,9473
org-springframework-spring-jdbc,inject,1796
org-springframework-spring-orm,base,11099
org-springframework-spring-orm,both,599
org-springframework-spring-orm,erase,9474
org-springframework-spring-orm,inject,603
org-springframework-spring-test,base,9902
org-springframework-spring-test,both,2056
org-springframework-spring-test,erase,10315
org-springframework-spring-test,inject,2021
org-springframework-spring-tx,base,8435
org-springframework-spring-tx,both,571
org-springframework-spring-tx,erase,7971
org-springframework-spring-tx,inject,578
org-springframework-spring-web,base,12007
org-springframework-spring-web,both,3570
org-springframework-spring-web,erase,9321
org-springframework-spring-web,inject,3584
org-springframework-spring-webmvc,base,9569
org-springframework-spring-webmvc,both,2192
org-springframework-spring-webmvc,erase,9300
org-springframework-spring-webmvc,inject,2208
org-testng-testng,base,13349
org-testng-testng,both,1577
org-testng-testng,erase,14080
org-testng-testng,inject,1579
org-yaml-snakeyaml,base,5331
org-yaml-snakeyaml,both,454
org-yaml-snakeyaml,erase,4312
org-yaml-snakeyaml,inject,442
scala-stdlib,base,5844
scala-stdlib,both,2502
scala-stdlib,erase,5692
scala-stdlib,inject,2492
